original_name,suggested_db_id,description,size
000074a334c541878360457c672b6c2e,black_blue_flip_flop_01,"A black flip-flop sandal featuring a textured, woven-style strap that arches over the foot. The sole has a layered design with a distinct blue stripe and a grey stripe running along the side profile. The footbed displays matching blue and grey stripes near the toe area. A gold-colored script logo, resembling the Rip Curl brand mark, is visible on the heel of the footbed. The object appears to be constructed from rubber or foam materials typical for casual footwear.","""[0.313, 0.076, 0.245]"""
0000ecca9a234cae994be239f6fec552,black_towel_bar_01,"A matte black, wall-mounted towel bar fixture. The object features a rectangular backplate with two circular mounting holes on the sides. A horizontal cylindrical bar is attached to the plate via a curved bracket. The bracket appears to have a textured or point-cloud-like surface finish.","""[0.140, 0.225, 0.163]"""
00010d9634f645859d2e252d189b31d5,single_bed_unmade_01,"A single bed with a blue mattress featuring white spots, covered in a rumpled pink and white floral duvet. Several pillows, including yellow, blue, and pink ones, are piled at the head of the bed. The bedding is disorganized, indicating an unmade state.","""[2.814, 2.619, 2.664]"""
0002064ef02e46f9a10b4bff10bae805,terracotta_pot_plant_01,"A terracotta flower pot resting on a flat, irregular grey stone slab. The pot features a classic tapered cylindrical shape, wider at the rim and narrowing towards the base. It contains green, leafy vegetation that resembles a succulent or small bush. The object functions as a decorative potted plant.","""[3.786, 3.337, 3.522]"""
0002c6eafa154e8bb08ebafb715a8d46,birthday_cake_01,A cylindrical birthday cake with a yellow sponge base and white drip frosting cascading down the sides. The top is decorated with a ring of red strawberries and white cream swirls. In the center sits a dark brown rectangular plaque with the text 'Happy Birthday' in white. The cake rests on a simple white circular plate.,"""[2.829, 1.249, 2.829]"""
0002e50309b44e409c96f440202d90b3,table_lamp_01,"A table lamp featuring a conical, off-white fabric shade. The base is a cylindrical structure, likely ceramic or metal, decorated with a geometric meander pattern in dark brown and metallic gold tones. The base tapers towards the bottom and rests on a small circular foot.","""[0.767, 1.239, 0.768]"""
0009a51366fb45e2876715bde6a574b7,anime_maid_bending_01,"A 3D character model of an anime-style female with blonde hair and a white maid outfit featuring a headpiece and blue side accessories. The character is posed bending forward at the waist, wearing white thigh-high stockings and black sandals. The object is a digital asset with a stylized, low-poly shape, intended for use in animation or simulation environments.","""[1.152, 1.685, 0.648]"""
0009f74807184fefa8eb58211edba390,industrial_building_01,"A 3D architectural model of a large industrial building or warehouse featuring a pitched gable roof. The structure is defined by visible red truss systems supporting the roof, which has a magenta upper surface and yellow underside. Vertical support columns are rendered in green and light blue, while yellow wireframes outline the internal steel framework and floor plans. The superior view reveals the repetitive truss pattern and horizontal beam structures, indicating a large-span single-story or low-rise facility designed for storage or industrial use.","""[14.100, 4.149, 16.500]"""
000a00944e294f7a94f95d420fdd45eb,metal_street_sign_01,"A rectangular metal street sign mounted on a horizontal support arm. The sign face features a weathered, light-colored background with red Korean characters and blue rectangular blocks at the bottom. The rear view reveals a dark grey metal backing plate with mounting brackets. The assembly is attached to a vertical pole.","""[69.937, 426.416, 760.843]"""
000a3d9fa4ff4c888e71e698694eb0b0,white_shopping_bag_01,"A white, rectangular shopping bag made of a textured, non-woven material with a subtle dotted pattern. It features two loop handles attached to the top rim. The object appears to be a lightweight, reusable retail tote, shown here in a flat or collapsed state in the side and top views.","""[601.000, 661.305, 138.974]"""
000a82b4e6bf4e909fbe5a3b0e6d67dc,grey_elephant_01,"A grey, low-poly 3D model of an elephant. The object features a blocky, faceted geometry typical of stylized 3D assets. It has large, flapping ears, a long trunk extending downwards, two white tusks, four sturdy legs, and a tail. The surface is a uniform matte grey, suggesting an untextured base mesh or a stone-like material. The model is designed for use in a simulation or game environment.","""[5.381, 7.914, 11.226]"""
000b76f2b03e44e8ab44e1a1614be0f4,shetland_sedan_01,"A beige four-door sedan with a boxy, retro design characteristic of the 1980s. The rear view displays rectangular taillights with red and amber sections, a black bumper, and trunk emblems reading ""Shetland"" and ""150-"". A white license plate with blue characters ""9RJE271"" is centered on the trunk. The side view reveals white multi-spoke wheels and a chrome trim line running the length of the car. The top view shows a sunroof integrated into the roof.","""[114.223, 104.851, 286.751]"""
000f88bb21164319ae797d315be6bc0e,black_blue_chronograph_watch,"A black metal chronograph wristwatch with a light blue dial, featuring a tachymeter bezel and three sub-dials. The watch has a black link bracelet and is mounted on a grey display stand. The case and bracelet appear to be made of polished and brushed metal.","""[25.089, 51.464, 41.373]"""
0010245ab5db4f12a18dfcd80fa9df4d,blue_spaceship_01,"A light blue, futuristic spaceship or fighter jet model. The object features a sleek, aerodynamic design with a central fuselage, swept-back wings, and vertical tail fins. It includes visible engine thrusters at the rear and a cockpit area near the front. The model appears to be a low-poly 3D asset with a uniform matte material, likely intended for a simulation or game environment.","""[346.816, 98.436, 221.488]"""
00124bcf3ca3463fbe05f28218cc0f5c,wooden_smoking_pipe_01,"A 3D model of a classic smoking pipe. It features a smooth, brown bowl and a long, curved stem made of light-colored wood with visible grain texture. The pipe has a traditional bent shape designed for holding tobacco.","""[3.370, 5.821, 8.120]"""
00130eea9e884209be92f68378a817e8,rubber_duck_01,"A stylized yellow rubber duck bath toy. The object features a smooth, matte yellow surface with a rounded head sitting atop an elongated, boat-shaped body. A small, triangular orange beak protrudes from the front. The geometry appears low-poly with faceted surfaces rather than perfectly smooth curves.","""[3.326, 2.702, 3.780]"""
0013bdaec08345ec9fd03214030baeb2,snowflake_creature_01,"A voxel-style creature or entity featuring a black, humanoid body with a rectangular torso and two thin legs. The head is adorned with two small pink eyes and supports a large, radial structure resembling a snowflake. This head structure consists of eight pink, segmented stalks radiating from a central hub, each terminating in a light blue, crystalline, snowflake-shaped gem. The object appears to be a winter-themed or magical character, likely designed for a game or simulation environment.","""[2.783, 5.866, 2.567]"""
0015413ed8b74ee78d3b45c73148f647,white_animal_head_01,"A white, low-poly 3D model of a stylized animal head, resembling a rabbit or bear. The object features a rounded, bulbous shape with two distinct, upright protrusions on top that resemble ears. The lateral view reveals a snout-like protrusion at the front. The surface is smooth, untextured, and appears as a solid white mesh with soft shading.","""[2.031, 2.130, 1.988]"""
001559b408504642831e6c604eaf583f,concrete_beam_graffiti_01,"A 3D model of an L-shaped concrete beam or wall section covered in street art. The object features a rough, grey concrete texture. The primary horizontal surface displays a stencil of a religious figure with a halo on the left, red graffiti tags in the center, and blue and yellow cartoon-like characters on the right. The vertical section of the L-shape also bears graffiti markings. The geometry suggests a piece of urban infrastructure, such as a low wall, barrier, or architectural beam.","""[10.370, 4.985, 6.069]"""
0017fed1dd804ec1ab2e06bbdbebab16,unknown_object,Unrecognizable or abstract object.,"""[0.051, 0.112, 0.051]"""
00184cc3c6674f2a8aa79e0e0d77ae31,potted_plant_yellow_flowers_01,"A 3D model of a potted plant featuring green foliage and clusters of yellow flowers, housed in a light green cylindrical pot. To the left of the main plant is a smaller, separate plant with pink blossoms. The assembly rests on a rectangular patch of dark soil scattered with small white rocks and debris, resembling a garden bed or a section of a floor plan.","""[1.707, 1.374, 1.707]"""
00184eec45fe45ffa3826e9202fe7306,painted_horse_01,"A 3D digital model of a horse standing in a neutral pose. The horse features a dark brown or black coat with a large, irregular white patch covering the mid-section and flank, along with white markings (socks) on its lower legs. The model appears to be a low-poly asset intended for use in a simulation or game environment.","""[4.871, 4.184, 1.400]"""
