session_id,timestamp,sweep_type,repetition,prompt,model,db_size,retrieval_k,retrieval_top_n,semantic_input_tokens,semantic_output_tokens,semantic_time_s,retrieval_time_s,asset_input_tokens,asset_output_tokens,asset_time_s,layout_time_s,total_time_s,objects_spawned,output_json_file
e00030fd,2026-04-13T14:11:20,db_sweep,1,Create a Study Room,gpt-oss:20b,100,20,5,829,254,13.528,4.372,3544,428,16.921,0.001,34.822,7,e00030fd.json
1fc26d4e,2026-04-13T14:11:55,db_sweep,2,Create a Study Room,gpt-oss:20b,100,20,5,645,511,7.244,4.483,1263,574,20.642,0.0,32.371,1,1fc26d4e.json
f5d15e3a,2026-04-13T14:12:27,db_sweep,3,Create a Study Room,gpt-oss:20b,100,20,5,534,408,6.665,4.439,3642,362,17.053,0.001,28.16,4,f5d15e3a.json
7bb68477,2026-04-13T14:12:55,db_sweep,4,Create a Study Room,gpt-oss:20b,100,20,5,904,370,8.422,4.529,3972,624,20.62,0.0,33.573,5,7bb68477.json
64ed089a,2026-04-13T14:13:29,db_sweep,5,Create a Study Room,gpt-oss:20b,100,20,5,846,458,10.09,4.415,3654,339,14.881,0.0,29.388,1,64ed089a.json
6bcd9afc,2026-04-13T14:13:58,db_sweep,6,Create a Study Room,gpt-oss:20b,100,20,5,894,448,8.899,4.432,3725,414,16.341,0.0,29.674,4,6bcd9afc.json
cf2d4900,2026-04-13T14:14:28,db_sweep,7,Create a Study Room,gpt-oss:20b,100,20,5,889,340,9.147,4.523,3807,278,19.676,0.0,33.347,1,cf2d4900.json
25a54ac1,2026-04-13T14:15:01,db_sweep,8,Create a Study Room,gpt-oss:20b,100,20,5,649,403,6.554,4.555,3177,321,12.887,0.0,23.997,1,25a54ac1.json
56803384,2026-04-13T14:15:25,db_sweep,9,Create a Study Room,gpt-oss:20b,100,20,5,757,398,7.309,4.702,3403,292,14.521,0.0,26.534,0,56803384.json
43dc9637,2026-04-13T14:15:52,db_sweep,10,Create a Study Room,gpt-oss:20b,100,20,5,943,205,7.29,4.396,2991,309,13.577,0.0,25.265,4,43dc9637.json
55f5cacd,2026-04-13T14:16:24,db_sweep,1,Create a Study Room,gpt-oss:20b,500,20,5,900,284,14.12,4.413,1708,530,23.844,0.0,42.378,6,55f5cacd.json
0e7473ef,2026-04-13T14:17:06,db_sweep,2,Create a Study Room,gpt-oss:20b,500,20,5,971,378,10.667,4.344,3457,389,17.766,0.001,32.779,8,0e7473ef.json
4aac949d,2026-04-13T14:17:39,db_sweep,3,Create a Study Room,gpt-oss:20b,500,20,5,648,217,5.11,4.566,3086,378,14.845,0.001,24.523,7,4aac949d.json
68ef6fb7,2026-04-13T14:18:03,db_sweep,4,Create a Study Room,gpt-oss:20b,500,20,5,998,201,7.607,4.369,3863,412,22.1,0.0,34.077,7,68ef6fb7.json
436a437c,2026-04-13T14:18:38,db_sweep,5,Create a Study Room,gpt-oss:20b,500,20,5,592,397,6.926,4.499,3244,418,14.086,0.001,25.514,7,436a437c.json
60200dcd,2026-04-13T14:19:03,db_sweep,6,Create a Study Room,gpt-oss:20b,500,20,5,549,314,5.074,4.444,2857,331,16.661,0.001,26.181,5,60200dcd.json
5f7b4747,2026-04-13T14:19:29,db_sweep,7,Create a Study Room,gpt-oss:20b,500,20,5,799,255,6.549,4.404,3698,305,14.485,0.0,25.439,1,5f7b4747.json
5a5bf7b5,2026-04-13T14:19:55,db_sweep,8,Create a Study Room,gpt-oss:20b,500,20,5,824,460,8.631,4.56,3684,332,14.537,0.0,27.73,1,5a5bf7b5.json
a3490ef5,2026-04-13T14:20:22,db_sweep,9,Create a Study Room,gpt-oss:20b,500,20,5,526,408,5.553,4.39,3467,505,17.039,0.0,26.984,8,a3490ef5.json
d30ae6f5,2026-04-13T14:20:49,db_sweep,10,Create a Study Room,gpt-oss:20b,500,20,5,898,251,7.382,4.415,3604,440,17.403,0.001,29.202,7,d30ae6f5.json
595d0efd,2026-04-13T14:21:28,db_sweep,1,Create a Study Room,gpt-oss:20b,1000,20,5,604,418,13.144,4.406,3777,476,19.293,0.0,36.845,7,595d0efd.json
03fd7c8b,2026-04-13T14:23:15,db_sweep,4,Create a Study Room,gpt-oss:20b,1000,20,5,829,220,7.57,4.338,3688,652,22.235,0.001,34.144,8,03fd7c8b.json
adadbb33,2026-04-13T14:23:49,db_sweep,5,Create a Study Room,gpt-oss:20b,1000,20,5,1274,233,11.666,4.365,1756,453,22.914,0.0,38.947,9,adadbb33.json
e5290c50,2026-04-13T14:24:28,db_sweep,6,Create a Study Room,gpt-oss:20b,1000,20,5,1392,255,13.177,4.427,3593,474,15.289,0.001,32.895,9,e5290c50.json
b8401cfe,2026-04-13T14:25:01,db_sweep,7,Create a Study Room,gpt-oss:20b,1000,20,5,644,259,5.483,4.327,2885,424,11.414,0.001,21.226,7,b8401cfe.json
0e4e55cc,2026-04-13T14:25:22,db_sweep,8,Create a Study Room,gpt-oss:20b,1000,20,5,648,438,6.781,4.645,3433,541,14.959,0.0,26.387,9,0e4e55cc.json
d9a2b8bc,2026-04-13T14:25:49,db_sweep,9,Create a Study Room,gpt-oss:20b,1000,20,5,705,397,6.887,4.413,1866,615,25.637,0.0,36.939,9,d9a2b8bc.json
7fdedba9,2026-04-13T14:26:26,db_sweep,10,Create a Study Room,gpt-oss:20b,1000,20,5,639,353,7.103,4.378,3393,413,15.789,0.001,27.272,8,7fdedba9.json
5724670a,2026-04-13T14:27:08,db_sweep,1,Create a Study Room,gpt-oss:20b,2000,20,5,764,277,12.764,4.491,3330,634,15.194,0.001,32.451,9,5724670a.json
0572a1ee,2026-04-13T14:27:40,db_sweep,2,Create a Study Room,gpt-oss:20b,2000,20,5,555,253,4.565,4.566,3355,331,12.792,0.0,21.925,0,0572a1ee.json
364442f3,2026-04-13T14:28:02,db_sweep,3,Create a Study Room,gpt-oss:20b,2000,20,5,583,419,6.09,4.336,3634,338,15.173,0.0,25.601,0,364442f3.json
2f5c3f8d,2026-04-13T14:28:52,db_sweep,5,Create a Study Room,gpt-oss:20b,2000,20,5,1145,244,9.195,4.371,3534,484,17.147,0.0,30.715,8,2f5c3f8d.json
5bba909e,2026-04-13T14:29:23,db_sweep,6,Create a Study Room,gpt-oss:20b,2000,20,5,919,314,8.28,4.507,3293,582,18.282,0.0,31.07,8,5bba909e.json
87cc149e,2026-04-13T14:29:54,db_sweep,7,Create a Study Room,gpt-oss:20b,2000,20,5,629,332,5.864,4.537,3526,457,16.811,0.0,27.213,8,87cc149e.json
dcd7c100,2026-04-13T14:30:21,db_sweep,8,Create a Study Room,gpt-oss:20b,2000,20,5,1147,381,10.649,4.37,3621,380,15.658,0.0,30.68,0,dcd7c100.json
89c8821b,2026-04-13T14:30:52,db_sweep,9,Create a Study Room,gpt-oss:20b,2000,20,5,719,301,6.285,4.343,2773,396,14.725,0.0,25.355,7,89c8821b.json
838373a5,2026-04-13T14:31:17,db_sweep,10,Create a Study Room,gpt-oss:20b,2000,20,5,756,427,7.663,4.402,3346,509,13.665,0.0,25.732,9,838373a5.json
439dbabb,2026-04-13T14:32:02,db_sweep,1,Create a Study Room,gpt-oss:20b,3000,20,5,832,287,13.617,4.634,2366,646,31.17,0.0,49.423,7,439dbabb.json
bb51b5e8,2026-04-13T14:32:51,db_sweep,2,Create a Study Room,gpt-oss:20b,3000,20,5,641,382,7.512,4.426,3813,276,15.51,0.0,27.451,0,bb51b5e8.json
81512436,2026-04-13T14:33:19,db_sweep,3,Create a Study Room,gpt-oss:20b,3000,20,5,634,211,4.942,4.349,2854,494,14.009,0.001,23.303,7,81512436.json
5274dc21,2026-04-13T14:33:42,db_sweep,4,Create a Study Room,gpt-oss:20b,3000,20,5,913,241,7.379,4.282,3597,370,18.605,0.0,30.269,7,5274dc21.json
21ad3a75,2026-04-13T14:34:12,db_sweep,5,Create a Study Room,gpt-oss:20b,3000,20,5,609,315,5.634,4.257,2490,349,11.899,0.0,21.792,7,21ad3a75.json
f561d518,2026-04-13T14:34:34,db_sweep,6,Create a Study Room,gpt-oss:20b,3000,20,5,1452,263,11.901,4.447,2932,518,14.382,0.0,30.731,8,f561d518.json
cee7c4be,2026-04-13T14:35:30,db_sweep,8,Create a Study Room,gpt-oss:20b,3000,20,5,924,421,9.044,4.529,3648,425,17.514,0.001,31.09,7,cee7c4be.json
abd1ebdf,2026-04-13T14:36:02,db_sweep,9,Create a Study Room,gpt-oss:20b,3000,20,5,831,351,7.58,4.368,3202,260,14.693,0.0,26.642,0,abd1ebdf.json
f684f5f4,2026-04-13T14:36:28,db_sweep,10,Create a Study Room,gpt-oss:20b,3000,20,5,707,319,6.375,4.291,3578,504,19.92,0.0,30.588,7,f684f5f4.json
3a59746a,2026-04-13T14:37:24,db_sweep,1,Create a Study Room,gpt-oss:20b,3763,20,5,737,284,12.829,4.468,2644,273,9.745,0.0,27.045,0,3a59746a.json
969c7516,2026-04-13T14:37:51,db_sweep,2,Create a Study Room,gpt-oss:20b,3763,20,5,833,452,8.318,4.424,3854,426,17.344,0.0,30.088,1,969c7516.json
ad75bc8f,2026-04-13T14:38:21,db_sweep,3,Create a Study Room,gpt-oss:20b,3763,20,5,773,210,7.01,4.325,2161,438,26.573,0.0,37.91,5,ad75bc8f.json
6b26fa8a,2026-04-13T14:38:59,db_sweep,4,Create a Study Room,gpt-oss:20b,3763,20,5,994,362,10.421,4.284,1774,465,23.554,0.0,38.261,9,6b26fa8a.json
02d0b266,2026-04-13T14:39:37,db_sweep,5,Create a Study Room,gpt-oss:20b,3763,20,5,884,400,9.619,4.556,4069,607,23.364,0.0,37.541,1,02d0b266.json
d1bbea99,2026-04-13T14:40:15,db_sweep,6,Create a Study Room,gpt-oss:20b,3763,20,5,756,431,9.006,4.464,3559,289,13.465,0.0,26.937,0,d1bbea99.json
921c2870,2026-04-13T14:40:42,db_sweep,7,Create a Study Room,gpt-oss:20b,3763,20,5,747,393,7.173,4.353,3851,639,21.584,0.0,33.111,8,921c2870.json
2441bb56,2026-04-13T14:41:45,db_sweep,9,Create a Study Room,gpt-oss:20b,3763,20,5,1042,286,10.16,4.387,3786,420,16.226,0.0,30.775,10,2441bb56.json
905d2e14,2026-04-13T14:42:16,db_sweep,10,Create a Study Room,gpt-oss:20b,3763,20,5,604,357,6.873,4.398,3473,352,17.47,0.0,28.742,0,905d2e14.json
01538152,2026-04-13T14:42:45,k_sweep,1,Create a Study Room,gpt-oss:20b,1000,10,5,589,425,6.436,4.228,3750,515,17.597,0.001,28.263,9,01538152.json
